twitter_user_id,mastodon_user_id,mastodon_server_hostname
17240950,1.09326696903004E+017,mastodon.wellperns.com
14595352,1.09622392931662E+017,mastodon.world
15822273,1.09325068953098E+017,mastodon.social
15488822,1.09262525806333E+017,chaos.social
1.27742250119952E+018,1.09364234504674E+017,mstdn.social
114295246,173006,chaos.social
462551660,1.09245877985611E+017,hachyderm.io
7273892,1.09362160994289E+017,mastodon.social
19808137,1.09366984773843E+017,kolektiva.social
2547875550,1.09301840006967E+017,fediscience.org
84572266,1.09913066849585E+017,mastodon.social
69004754,1.09325356161937E+017,fosstodon.org
2277117672,1.09278566565165E+017,troet.cafe
18049518,1.09366343813249E+017,denizens.social
7.79643961296183E+017,1.09296178566084E+017,mastodon.green
3322136889,23421,meow.social
17368293,29243,mastodon.social
26965315,1.09290487306356E+017,mstdn.social
356409500,1.09366084552048E+017,woof.group
6765262,250717,chaos.social
14898253,1.09322458257331E+017,famichiki.jp
9.14443856099398E+017,1.09318729880664E+017,bildung.social
8.65938093953733E+017,1.09365740121298E+017,piaille.fr
15498567,1.09321133093074E+017,climatejustice.social
52772800,1.09307488793344E+017,fediscience.org
12438922,1.09250027132189E+017,mastodon.social
74437856,1.09298701273439E+017,kolektiva.social
92142664,1.0927012414717E+017,mastodon.scot
90854158,1.0929903876622E+017,mastodon.ie
59129325,1.10148434627058E+017,aoir.social
59341538,1.09362883423261E+017,ruby.social
239967272,1.09342764641096E+017,mastodontech.de
344289744,665333,mastodon.social
14191172,1.09376420157604E+017,hachyderm.io
17618425,1.09261676192859E+017,mastodon.online
7.02690220794384E+017,1.09359709647771E+017,infosec.exchange
84623191,1.0930301859319E+017,famichiki.jp
17135943,490,phpc.social
15027662,1.09401882432712E+017,infosec.exchange
119801639,1.09257947529816E+017,mastodon.social
37786023,1.09525599505906E+017,avgeek.social
188529939,1.09531044679153E+017,wandering.shop
245686477,1.09261163530411E+017,mindly.social
18913968,27169,mastodon.social
242762581,1.09315762240743E+017,mastodon.social
14366472,1.09320928867621E+017,ioc.exchange
23336632,1.10326591179948E+017,exquisite.social
1262134932,4887,mamot.fr
15476964,1.09282610961048E+017,c.im
8.1255971932389E+017,1.09418577879366E+017,bantu.social
42815859,1.09339918484497E+017,sfba.social
256020572,1.09291984052922E+017,fosstodon.org
14428320,1.08285802173995E+017,fosstodon.org
2775450682,1.09325282695208E+017,ohai.social
