twitter_user_id,bluesky_user_did
8.89140155071779E+017,did:plc:4s4ivkb523dolwkskbauvcyx
104387201,did:plc:bvdhrnh6fuhd2yjs7x65rjyy
14781691,did:plc:7swbmat32ilhranisls2jjuo
4516493423,did:plc:gqwanfvytj5g4nkwhmhh7zgk
740920470,did:plc:suczrnrvjh7pg3ellzpj5qfc
23258865,did:plc:ywprl5zi5ngeovwgb6ae7bnp
31435721,did:plc:ytwyfes6dus5rk4wpj44tsta
105009063,did:plc:udinijgvzt4ijtn7wqcumlxr
14619442,did:plc:isgitzqbz7g5isimiihtfnno
40754869,did:plc:cfz66rdg4lqdsuc2xpx4nq7z
14376171,did:plc:mn34tjpotc6wyhhisdshr4yq
18622393,did:plc:sevbum6m673v62tacrunc6tb
264483918,did:plc:vpkw7cvu6eu742hvjk5wsxf2
216871973,did:plc:eavhhx7gccqx2sqvf4tg4lq6
4525101,did:plc:3iykfenbw4vjuc76ufokqog2
3059801947,did:plc:r7v7r5ylfpbmfoxjer4y3v2v
6795192,did:plc:fbfsjfir7lqybonttc56bfv2
48370736,did:plc:xykjul4v75r2l6353mshsaez
79219852,did:plc:fvq4zwi5mhpuk7itwjpaxbsl
1925156712,did:plc:2jhpecyiivd33c2ya6g3lrko
36120241,did:plc:3stgiida6lrg3tak4lj7tfhk
